cluster_number,movie_indices
26,"63,84,212,286,355,383,389,445,448,748,1214,1634,1776,2369,2381,2495,3065,3592,3734,3780,3875,3948,3951,4299,4615,4617,4658,4705,4760,4767,4776,4804,4810,4833,4867,4915,4963,4975,5006,5007,5025,5073,5174,5185,5198,5205,5302,5330,5389,5552,5583,5584,5748,5752,5816,5905,6009,6100,6101,6209,6388,6392,6495,6498,6505,6565,6609,6751,6798,6815,6966,7021,7159,7161,7214,7250,7265,7325,7352,7402,7437,7484,7519,7526,7597,7785,7815,7828,7831,7946,8097,8154,8172,8199,8317,8322,8404,8441,8543,8548,8592,8602,8614,8658,8713,8747,8821,8844,8921,8925,8993,9019,9111,9113,9266,9307,9323,9350,9364,9417,9456,9501,9552,9712,9751,9804,9908,9918,10238,10287,10326,10524,10526,10608,10738,10777,10930,10950,11034,11257,11261,11266,11297,11341,11409,11575,11801,11874,12197,12694,12764,12925,13079,13100,13197,13389,13402,13445,13476,13649,13828,13979,13993,14065,14102,14185,14186,14220,14411,14481,14488,14550,14728,14857,14880,14928,14949,15031,15195,15279,15281,15342,15357,15472,15474,15534,15667,15955,16136,16261,16613,16685,16777,16895,16921,17239,17317,17473,17967,18054,18110,18676,18732,18756,18763,18843,18860,18864,19014,19448,19502,19787,19975,20383,20573,20595,20634,21139,21152,21379,21500,21627,22264,22556,22598,22696,23305,23532,23638,23740,24301,24523,24625,25039,25244,25399,25448,25539,25711,26025,26305,26441,26643,27139,27369,27399,28056,28096,28144,28192,28206,28415,28499,28875,28957,28974,29021,29086,29298,29328,29524,29696,30355,30535,30682,31109,31130,31229,31621,31776,31883,31895,32104,32236,32534,33061,33130,33206,33253,33652,33771,33921,34336,34940,35072,35237,35689,36038,36141,36148,36242,36483,36581,37230,37536,37633,37837,37960,38236,38322,38340,38403,38769,39670,39812,40250,40346,40482,41081,41497,41504,41767,41778,41951,42305,42800,42964,43073"
27,"68,5604,6019,11157,19989,20478,26428,27582,29879,30492,31576,32879,34824,40822"
28,"69,243,428,635,678,1067,1076,1344,1599,1687,1689,2491,2526,2974,2993,3520,4312,4444,4482,4645,5478,5531,5576,10305,10622,10652,10683,11153,11658,12220,13026,14575,15247,15622,20179,20197,20475,20597,20743,21157,22056,22439,23749,23866,24630,24820,25040,25216,25311,25327,25425,25945,27023,27646,28209,28658,29672,29912,30245,34854,35516,40344,40721,41065,41893"
29,"71,836,3266,7557,7684,7977,7986,8034,8120,8340,8558,8945,9432,9569,10222,10258,10368,10439,10899,11035,11212,11271,11280,12164,12650,12707,12897,12957,13087,13441,13450,14690,15016,15069,15623,16226,16532,16682,17093,17445,17607,17727,17732,18109,19539,19587,19917,20013,20406,20526,20785,20852,21060,21816,21994,22687,23474,23784,23798,24132,24827,24871,25708,26186,26909,27236,28841,28941,29241,30448,31010,31447,32180,33075,33215,33900,34004,35093,35250,37288,37651,38647,39278,39877,39990,40472,40678,42299,42313,42778,43091,43421,43486,43694"
30,"72,95,114,141,143,149,281,495,564,2073,3156,3486,3589,3631,4089,4265,7017,7165,7199,7251,7299,7393,7395,7629,7675,7676,7679,7712,7782,7803,7816,7857,7863,7902,7999,8338,8358,8495,8559,8683,8833,9011,9012,9036,9176,9256,9341,9342,9344,9425,9581,9660,9663,9789,10145,10206,10219,10230,10235,10264,10271,10272,10347,10354,10403,10442,10486,10533,10550,10630,10638,10646,10834,10859,11036,11069,11155,11164,11170,11190,11197,11252,11334,11342,11370,11529,11565,11581,11604,11709,11753,11758,11826,11984,12060,12078,12107,12181,12299,12406,12462,12464,12481,12527,12538,12546,12580,12602,12616,12628,12673,12756,12796,12848,12883,12959,12965,13005,13017,13036,13041,13075,13131,13159,13228,13387,13461,13486,13536,13679,13712,13751,13909,13926,13952,14007,14012,14031,14062,14085,14128,14189,14230,14307,14336,14337,14349,14375,14483,14485,14511,14516,14584,14631,14660,14674,14821,14840,14991,15006,15084,15162,15165,15197,15207,15244,15335,15351,15522,15558,15671,15675,15681,15710,15721,15738,15743,15796,15797,16058,16133,16163,16164,16171,16276,16310,16489,16510,16544,16553,16646,16742,16779,16806,16807,16819,16863,16883,16890,17027,17038,17081,17096,17113,17169,17292,17322,17457,17565,17567,17579,17627,17674,17684,17756,17795,17827,17846,17856,17898,17985,18017,18030,18138,18145,18148,18153,18210,18245,18300,18353,18493,18543,18601,18626,18643,18654,18662,18755,18791,18904,18906,18925,18941,19002,19073,19101,19110,19111,19136,19147,19269,19438,19512,19553,19565,19659,19667,19716,19784,19840,19968,19998,20246,20247,20286,20292,20314,20331,20333,20446,20457,20482,20561,20567,20683,20688,20714,20728,20797,20833,20866,20918,20932,21144,21242,21387,21484,21634,21642,21736,21835,22008,22276,22304,22313,22428,22495,22576,22601,22616,22623,22665,22682,22718,22786,22797,22801,22841,22923,22930,23002,23097,23102,23295,23296,23361,23416,23529,23561,23633,23953,23969,24197,24283,24392,24506,24679,24721,24839,24911,24979,25132,25300,25374,25438,25537,25677,25769,25789,25802,25910,25939,26052,26060,26104,26216,26224,26256,26331,26334,26340,26485,26688,26739,26784,26801,26820,26831,26838,26839,27117,27135,27230,27350,27359,27637,27694,27735,27880,27890,28174,28408,28447,28620,28851,28900,28995,29404,29641,29824,30037,30142,30143,30323,30377,30521,30779,30806,30888,31129,31722,31983,32245,32331,32387,32474,32574,32588,32655,32752,32865,33300,33645,33673,33806,34017,34065,34106,34137,34149,34150,34301,34302,34561,34566,35248,35373,35390,35690,36033,36178,36295,36338,36348,36508,36526,36770,36778,37065,37069,37070,37206,37612,37760,37932,37970,38179,38366,38678,38681,38784,38885,38953,38968,39007,39028,39169,39307,39558,39648,39701,39928,39929,40166,40200,40331,40372,40470,40591,40642,40655,40656,40657,40927,41064,41111,41112,41653,41679,41987,42002,42266,42270,42287,42434,42457,42540,42553,42608,42631,42745,43038,43069,43112,43153,43193,43283,43328,43516"
31,"74,664,699,759,834,852,860,875,876,880,1052,1085,1168,1198,1223,1241,1283,1377,1392,1602,2134,2315,2998,3113,3408,3871,4437,4666,4708,4731,4874,4894,4962,5043,5108,5117,5297,5344,5368,5391,5393,5506,5589,5622,5624,5636,5683,5690,5723,5792,5869,5896,5922,6052,6061,6108,6127,6177,6261,6297,6345,6379,6389,6612,6646,6671,6677,6687,6689,6742,6743,6960,7025,7074,7085,7145,7207,7321,7385,7411,7446,8701,9024,18844,18845,28301,29810,29857,29980,30045,30496,31330,31605,32484,34069,34826,42224,42541,42656,43128"
32,"75,142,240,333,341,366,483,939,1265,1339,1358,1371,1435,1464,1554,1774,1840,1906,2071,2146,2180,2365,2530,2543,2579,2621,2686,3052,3261,3298,3466,3467,3495,3540,3601,3606,3677,3704,3754,3758,3928,4007,4032,4150,4213,4238,4264,5278,5310,5373,5699,5851,5861,6028,6102,6130,6132,6165,6204,6232,6284,6353,6361,6383,6417,6436,6493,6558,6611,6793,7007,7039,7078,7179,7255,7260,7280,7285,7305,7350,7405,7594,7630,7640,7664,7678,7688,7707,7730,7799,7840,7932,7952,8013,8025,8049,8080,8141,8239,8267,8324,8330,8402,8406,8434,8473,8522,8550,8573,8718,8834,8915,8938,9100,9145,9177,9222,9243,9318,9325,9356,9472,9482,9521,9543,9556,9658,9722,9901,9940,10015,10173,10214,10243,10350,10351,10384,10396,10488,10495,10497,10551,10564,10565,10647,10686,10689,10810,10812,10872,10928,10947,10968,10982,10995,11017,11020,11046,11049,11067,11098,11312,11326,11346,11352,11443,11507,11908,11945,12072,12235,12249,12250,12313,12359,12446,12471,12483,12599,12623,12688,12794,12847,12921,12995,12999,13027,13106,13229,13256,13275,13296,13300,13345,13432,13572,13633,13652,13709,13750,13854,13863,13900,13928,14004,14061,14104,14113,14138,14233,14249,14322,14345,14359,14402,14542,14573,14606,14740,14757,14760,14879,15186,15266,15338,15375,15431,15475,15578,15602,15705,15856,15860,15921,16277,16370,16442,16453,16469,16522,16639,16930,16951,17002,17114,17115,17116,17226,17240,17300,17414,17532,17614,17631,17647,17667,17858,18134,18194,18254,18397,18412,18528,18547,18548,18664,18678,18796,18806,18978,19081,19113,19166,19178,19243,19280,19421,19446,19552,19785,19949,19980,20028,20044,20069,20282,20347,20358,20368,20437,20440,20542,20581,20593,20643,20766,20774,20906,20913,20991,21174,21528,21532,21544,21545,21592,21655,21677,21725,21762,21787,21792,21858,21859,21877,21882,21975,22026,22050,22078,22116,22163,22208,22379,22396,22407,22512,22577,22602,22641,22914,22990,23096,23145,23150,23179,23226,23384,23445,23694,23732,23811,23820,24009,24014,24160,24181,24339,24440,24450,24480,24618,24718,24742,24816,24882,24925,24980,25033,25070,25085,25094,25173,25373,25441,25445,25533,25791,25805,25819,25825,25911,25929,26073,26137,26160,26229,26249,26250,26251,26269,26273,26329,26350,26363,26384,26506,26521,26522,26652,26711,26719,26793,26803,26843,26890,26975,26988,27075,27153,27208,27240,27250,27286,27295,27368,27451,27573,27575,27611,27636,27738,28251,28340,28370,28532,28743,28750,28932,29030,29092,29339,30154,30273,30365,30394,30575,30629,30659,30751,30765,30769,30792,30902,30904,31097,31114,31117,31208,31348,31450,31479,31493,31620,31690,31691,31866,31868,32054,32251,32274,32303,32492,32555,32585,32667,32768,33192,33282,33572,33612,33640,33720,33807,33838,33876,33886,33994,34030,34084,34259,34628,34743,34828,34843,34960,35147,35149,35159,35189,35276,35319,35341,35364,35368,35517,35518,35613,35643,36197,36292,36997,37164,37166,37233,37274,37276,37605,37610,37617,37640,37662,37727,37773,37818,37841,37876,37905,37975,38026,38153,38232,38306,38307,38363,38369,38522,38530,38594,38612,38724,38766,38882,39141,39149,39254,39462,39465,39560,39713,39822,39844,39964,39988,40121,40129,40232,40445,40481,40762,40765,40807,40872,40900,40901,40938,40943,40987,41068,41085,41348,41603,41802,42001,42004,42089,42124,42146,42157,42183,42356,42372,42530,42546,42650,42715,42858,43021,43123,43438,43453,43506,43635,43659,43662"
33,"79,11358,22666,24504,25286,27781,28547,30124,35268,38737,38999,40479,41163,41978"
34,"81,100,174,215,235,262,477,531,567,2268,2607,2653,2714,3015,3635,3692,3757,3926,4195,4409,7016,7045,7281,7471,7483,7537,7552,7572,7607,7708,7751,7802,7833,7890,7906,7947,7955,7961,7987,8002,8014,8204,8316,8361,8386,8393,8417,8438,8461,8513,8526,8542,8603,8634,8688,8721,8770,8855,8979,9035,9103,9261,9374,9551,9583,9633,9676,10107,10196,10203,10279,10397,10398,10429,10514,10540,10556,10578,10711,10774,10795,10854,10911,10935,11084,11089,11369,11494,11503,11535,11557,11588,11636,11644,11676,11797,11894,12037,12038,12076,12118,12150,12194,12278,12385,12394,12411,12548,12591,12601,12625,12643,12743,12838,12860,12924,12932,12986,13004,13178,13192,13372,13406,13485,13564,13609,13627,13653,13658,13907,13968,13976,14019,14087,14180,14181,14183,14191,14248,14262,14282,14474,14599,14600,14642,14735,14776,14838,15267,15278,15389,15409,15496,15535,15540,15571,15577,15605,15666,15888,15990,16052,16206,16242,16416,16450,16475,16511,16512,16547,16598,16683,17089,17352,17367,17373,17377,17440,17475,17481,17601,17610,17703,17828,17854,17859,18116,18131,18198,18263,18386,18404,18631,18635,18703,18788,18804,18919,18990,19091,19156,19223,19315,19440,19822,19843,19970,20097,20194,20272,20305,20337,20416,20692,20789,20928,21004,21032,21546,21646,21654,21814,22065,22341,22518,22561,22578,22686,22896,22950,23027,23100,23684,23933,24079,24185,24287,24321,24387,24516,24611,24626,24635,24880,24933,25060,25116,25217,25222,25472,25853,25868,25872,26072,26116,26201,26393,26404,26646,26795,26897,27006,27039,27152,27593,27644,27709,27842,27843,27861,27877,27904,28038,28068,28175,28274,28522,28593,28754,28950,29048,29160,29436,29454,30252,30334,30567,30695,30903,31332,31344,31407,31622,31626,32225,32460,33088,33382,33744,33772,34138,34912,35145,35331,35624,35642,35841,35898,36094,36256,36324,36329,36417,36432,37290,37292,37419,37580,37602,38243,38261,38293,38347,38485,38488,38531,38585,38586,38587,38774,38788,38860,39079,39083,39447,39629,39651,39895,39925,40071,40294,40310,40400,40471,40625,40948,41250,41351,41471,41503,41532,41557,41849,41943,41955,42423,42619,42788,42877,42904,43168,43208"
35,"83,305,397,443,454,457,492,640,775,916,928,1012,1042,1204,1312,1313,1384,1494,1532,1538,1576,1581,1667,1738,1838,1922,2024,2037,2104,2155,2303,2341,2377,2469,2558,2568,2663,2769,2793,2809,2815,2818,2863,2897,2944,3016,3089,3092,3211,3215,3232,3283,3335,3352,3367,3402,3417,3551,3728,3861,3867,4036,4198,4199,4200,4201,4253,4464,4656,4790,5280,5336,5356,6162,6304,6323,6435,6629,6658,6932,7041,7349,7770,8212,8414,8497,8594,8645,8729,8749,8845,8963,9023,9162,9604,9809,9815,9909,9955,9968,10169,10591,10600,10763,10806,10863,11015,11057,11156,11505,11527,11596,11642,11809,12119,12146,12342,12590,12914,13016,13273,13459,13475,13638,13814,13902,13911,13994,14029,14184,14344,14445,14452,14540,14868,14943,15234,15260,15282,15480,15499,15566,15595,16025,16107,16120,16364,16472,16519,16548,16735,16816,16847,17006,17056,17100,17323,17458,17534,17637,17906,17907,17908,18040,18049,18289,18387,18414,18836,18948,18962,18973,19016,19206,19294,19426,19467,19468,19709,19828,19835,19892,20157,20515,20566,21103,21580,22110,22164,22234,22423,22424,22570,23098,23206,23253,23407,23552,23841,24010,24018,24028,24106,24192,24410,24656,24749,24977,25018,25238,25340,25475,25573,25714,25784,25918,26223,26252,26470,26543,26560,26965,27132,27156,27387,27453,27504,27605,27671,27840,28158,28467,28584,28928,29233,29375,29568,29891,29924,29933,29974,30194,30479,30543,30594,30742,30834,30891,31847,31899,31945,31957,31978,32432,32538,32769,32989,33048,33208,33268,33284,33602,33786,33832,34062,34740,34845,34916,34970,35153,35182,35193,35246,35275,35305,35371,35886,36225,36255,36441,36481,36537,36610,36775,36893,37218,37459,37529,37805,37910,37942,38047,38094,38459,38467,38545,38764,38903,38995,39507,39623,39667,39705,39726,39824,39926,40075,40114,40186,40399,40422,40529,40719,40827,41071,41094,41352,41487,41601,41646,41926,42023,42208,42297,42435,42481,42491,42501,42685,42695,42775,42830,42926,43084,43198,43426,43559,43583,43700,43719"
36,"88,344,761,1102,1120,1160,1389,1416,1485,1800,2433,2444,2748,2790,5106,5226,5485,6166,6767,6772,7051,7580,7643,7709,7866,7905,8050,8200,8262,8472,9014,9122,9372,9452,9465,10645,10948,11149,11411,11478,11707,12184,12224,12352,12444,12587,12702,12726,12747,12831,12850,12879,12962,13163,13442,13664,13819,14060,14137,14176,14385,14438,14739,14795,15171,15233,15311,15312,15330,15331,15533,15631,15847,15947,15953,16193,16452,16465,16923,17048,17265,17559,17605,17615,17642,17669,17698,17788,17845,17953,17962,18048,18208,18484,18754,18940,19100,19281,19307,19661,19721,19895,20041,20587,20618,21042,21086,21367,22299,22712,22891,22976,23327,23823,24650,24795,24831,24859,25252,25658,25694,25768,25934,26255,26304,26629,26908,27054,27442,27628,27642,27802,27894,27938,28097,28858,28971,28986,29080,29091,29637,29799,29874,29989,30104,30131,30764,30934,31706,31751,32045,32213,32806,33178,34581,34671,34922,35043,35090,35214,35231,35772,36717,36861,37104,37265,37455,37709,37728,38192,38209,38659,38858,38964,39532,39625,40187,40301,40309,40670,41022,41582,41734,42040,42730,42782,43714"
37,"91,163,164,165,256,257,378,413,556,2349,2494,2996,3228,3230,3231,3236,3238,3445,3537,3597,3664,3745,3756,3783,3841,3842,3855,4181,4193,4282,4317,4859,4876,5469,5808,5899,5916,5993,5994,6110,6138,6203,6266,6317,6368,6412,6517,6533,6534,6824,7070,7071,7180,7181,7209,7221,7379,7432,7482,7860,7861,7910,7912,7963,8185,8201,8310,8311,8368,8560,8581,8606,8632,8638,8643,8663,8690,8706,8707,8708,8709,8826,8827,8828,8830,9008,9219,9221,9233,9234,9251,9252,9267,9268,9447,9495,9616,9923,9928,9952,10048,10185,10187,10432,10487,10573,10588,10955,10975,11111,11141,11182,11184,11227,11265,11398,11435,11559,11578,11686,11747,11749,11750,11906,12030,12079,12111,12285,12337,12858,13230,14071,14275,15301,15961,16051,16154,16354,17132,18260,18279,18298,18299,18407,28189,28809,29547,30165,31151,32041,32410,32571,32682,32687,32722,34075,34260,34419,42043,42247,42273,42498,42615,42681,42735,42765,42878,42934,42935,42983,42997,43009,43213,43268,43445,43496"
38,"96,173,191,207,228,268,407,414,474,559,561,562,609,889,1261,1386,1395,1405,1535,1876,2124,2448,2565,2628,2639,2725,2746,2759,2813,2843,2894,2940,2989,3237,3390,3409,3411,3438,3517,3530,3571,3795,3803,3806,3823,3827,3863,3930,3950,3976,4055,4092,4141,4142,4175,4204,4215,4306,4346,4375,4391,4393,4452,4505,4509,4548,4619,4650,4653,4698,4703,4780,4797,4827,4877,4878,4884,4925,4944,4983,4987,4997,4999,5001,5013,5031,5050,5055,5060,5080,5107,5131,5138,5158,5159,5176,5210,5224,5247,5258,5287,5299,5402,5419,5440,5451,5453,5508,5546,5556,5559,5599,5634,5663,5836,5879,5929,6011,6167,6173,6207,6274,6462,6484,6575,6674,6765,6849,7022,7067,7069,7075,7080,7109,7223,7230,7240,7378,7417,7486,7493,7562,7610,7615,7616,7636,7683,7753,7790,7810,7823,7845,7920,8011,8096,8104,8162,8192,8282,8294,8395,8410,8426,8518,8608,8695,8872,8881,8890,9048,9129,9165,9366,9379,9404,9491,9537,9590,9738,9799,9913,9951,10006,10070,10215,10249,10256,10302,10310,10385,10411,10451,10651,10653,10702,10712,10770,10858,10909,10957,10967,10984,11038,11100,11101,11102,11150,11232,11236,11324,11477,11486,11583,11606,11625,11724,11781,11860,11862,11993,12006,12027,12040,12142,12193,12243,12302,12315,12353,12595,12624,12662,12741,12899,12937,12947,12989,13000,13243,13358,13388,13433,13482,13502,13648,13665,13775,13776,13877,14371,14489,14633,14663,15106,15230,15274,15356,15381,15451,15502,15554,15591,16487,16785,16820,17008,17037,17166,17198,17220,17578,17598,17715,17824,18072,18243,18247,18517,18524,18581,18847,18986,19000,19244,19246,19384,19676,19797,19922,19924,20175,20334,20387,20518,20574,20853,20988,21088,21143,21235,21316,21374,21477,21607,21661,22126,22369,22448,22697,22773,22989,22992,23069,23386,23573,23621,23651,23656,23712,23875,24060,24183,24196,24638,24653,24702,24874,24919,25019,25480,25645,25721,26084,26253,26410,26411,26497,26630,26665,26675,26703,26750,26788,26944,26958,27000,27352,27737,27811,27975,28011,28140,28151,28359,28589,28755,29082,29613,29699,29768,29773,30085,30190,30305,30385,30399,30477,30591,31008,31427,31470,31505,31639,31931,32002,32108,32391,32433,32739,32830,32853,32914,33094,33231,33245,33276,33319,33336,33670,33678,33752,34090,34168,34182,34382,34499,34555,34640,34651,34741,35005,35007,35223,35438,35522,35570,35652,35653,35858,36082,36344,36464,36828,36986,37197,37235,37482,37604,37624,37864,38364,38763,39042,39115,39143,39144,39777,40570,40777,41517,41677,41973,42093,42108,42153,42167,42328,42425,42654,42664,42726,42826,42828,42836,42842,42911,43001,43011,43043,43081,43228,43290,43380,43417,43447,43494,43515"
39,"97,232,244,636,785,958,1051,1123,1790,1805,1878,1886,2412,2430,2466,2525,3002,3160,3177,3200,3254,3280,3287,3288,3434,3545,3645,3844,3904,4058,4239,4320,4722,4769,4795,4911,4965,5386,5555,5774,6286,6338,6393,7095,7098,7241,7515,7529,7612,7766,8357,8773,8780,8849,9619,9716,9757,10343,10492,10493,10701,10839,10853,10903,10958,10986,11007,11338,11803,11877,12011,12176,12440,12615,13128,13481,13798,13906,14035,14039,14297,14895,14974,15086,15189,15911,16405,17852,18315,18856,18995,19094,19722,19830,20543,20854,20857,21208,21602,21809,22222,22725,22793,23240,24336,25115,25810,25828,25970,26033,26584,26680,26751,27371,27491,27878,28172,28364,28450,28542,28586,28807,28844,29601,29673,30246,30422,30989,31537,31689,31721,31794,32149,32150,32479,33358,33438,33548,33580,33601,33924,33925,34666,34822,34864,35215,35459,35474,35747,35783,36426,37252,37253,38381,38736,39170,39579,39652,39814,40772,40836,42094,42278,42567,42668,42963,43090,43332,43463"
40,"99,4433,9189,11083,12528,12953,15683,18449,19572,21885,22326,22701,22961,23449,25061,26170,30770,30956,33244,34865,37620,42304,42495,42536,42649,42657,42759,42802,43057,43074,43199,43383,43664,43717"
41,"102,104,1271,1301,1355,1583,3774,4021,4145,4250,4321,4387,7013,7485,7502,7553,7694,7954,7964,8147,8230,8607,8947,9711,10236,10391,10469,10481,10482,10484,11786,11918,11951,12042,12152,12168,12674,12946,13061,13355,13764,14057,14099,14909,15378,15952,18268,18621,18680,18681,18704,19804,20917,21780,21820,21921,21936,22375,22511,23230,23479,23695,24891,25246,25632,25834,26687,26716,26921,28057,28130,28662,29138,29299,29411,29812,30582,30612,30958,30987,31230,31252,31322,33265,33677,34056,34500,35252,35318,36113,36924,37443,41285,41804,42532,42534,42718,42957,43008,43077"
42,"105,136,156,365,437,1362,1479,2462,3041,3460,3508,3623,4471,4543,4613,4627,4639,4660,4694,4712,4753,4777,4789,4849,4872,4893,4899,4919,4920,4932,4933,4937,5091,5179,5215,5291,5305,5320,5343,5355,5398,5406,5407,5425,5490,5507,5520,5530,5580,5678,5733,5737,5791,5852,5856,5867,5921,6004,6121,6141,6218,6224,6584,6651,6841,6872,7182,7364,7406,7421,7430,7478,7763,7805,7825,7881,7936,7970,7976,8048,8102,8207,8244,8258,8382,8421,8435,8490,8509,8570,8576,8596,8615,8949,8980,9121,9136,9159,9434,9561,9596,9739,9745,9777,9887,9896,9898,9932,10064,10766,10884,10987,11200,11385,11485,11506,11637,11717,11936,12003,12200,12262,12323,12445,12560,12575,12576,12578,12642,12763,13198,13444,13703,13923,14042,14101,14519,14621,14712,14977,14978,15546,15874,15950,16245,16586,16859,16864,16927,16994,17095,17155,17203,17232,17295,17328,17589,18091,18391,18658,18688,18895,19078,19158,19374,19381,19436,19491,19644,19862,20042,20108,20473,20495,20874,21125,21572,21673,21796,22128,22544,22584,22640,22955,23176,23642,24488,24601,24877,25024,25172,25275,25931,26538,26627,26744,27106,27131,27841,28161,28692,28975,29756,30391,30840,30881,30969,30992,31067,31196,31548,31716,31805,31934,33845,34121,34329,34713,34996,35399,35584,35864,35897,35966,36098,36476,36975,36993,37054,37116,37213,37337,37515,37902,37969,38191,38217,38834,39329,39384,40127,40306,40412,40473,40697,40918,41169,41395,41495,41506,41559,41569,41634,41983,42447"
43,"106,535,616,685,712,816,891,1049,1093,1104,1272,1844,2097,2129,2322,2339,2667,2906,3473,3518,3700,4241,4430,4465,4488,4489,4585,4591,4593,4857,4992,5012,5051,5054,5068,5074,5139,5177,5195,5337,5342,5345,5367,5382,5408,5418,5455,5651,5719,5755,5817,5924,6042,6076,6093,6400,6455,6541,6570,6576,6590,6641,6754,6935,7424,7563,7662,8484,8566,8567,8671,8813,8852,8931,9047,9125,9353,9421,9499,9528,9627,9637,9806,9853,10087,10673,11445,11790,11855,11991,12024,12199,12361,13102,13527,13956,14147,14716,15172,15394,16356,16909,16996,17103,17284,17341,17817,17825,17844,17863,18216,18264,18297,18425,18474,18550,18720,18721,18905,19500,20022,20276,20551,22416,22489,22768,23020,23339,24268,25103,25369,26601,26658,27242,27920,28018,28087,28242,28354,28902,29854,29895,30581,31154,31840,33427,33467,34958,35175,35265,36596,36671,37555,37823,38000,38183,38314,39514,39518,39571,39774,39875,40311,40325,40518,40582,41097,41098,41600,41964,42334,42395,42630,42711,42719,42883,42925,43317"
44,"108,190,5208,5541,5567,6324,6607,6762,6817,7143,7744,8124,8383,8582,8693,8859,8874,9127,9230,9393,9497,9773,9788,10053,10318,10668,10809,13240,13566,13838,14094,14420,14726,15568,15619,15652,15845,16188,18936,19165,19469,19540,19912,19967,20156,20243,20702,21365,22129,23135,23693,23863,24308,24537,25992,26976,26977,28745,35585,39707,40628,40722,42028,42402,42519"
45,"109,147,467,3832,7173,8448,8517,8563,8591,8897,10468,10640,10929,11176,11274,11309,11366,11522,12135,12356,12652,12928,14166,14613,14861,15713,16389,16444,17067,17564,17706,19795,19858,20265,20408,20756,22893,22994,23647,24250,27433,27681,29539,29887,32327,32615,32912,35670,36010,39612,40796,41228,42078"
46,"116,119,261,433,451,1080,1814,2578,2782,2991,3044,3118,3119,3201,3312,3533,3561,3640,3813,4084,4136,4191,4547,4582,4634,4834,4880,4973,5143,5203,5265,5431,5581,5591,5620,5659,5822,5889,5945,5969,6050,6277,6307,6385,6458,6477,6528,6568,6569,6627,6645,6773,6802,6930,7010,7042,7105,7212,7341,7384,7388,7423,7533,7574,7918,7942,8099,8114,8214,8234,8412,8525,8667,8679,8836,8939,9193,9214,9283,9694,9714,9730,9767,9774,9841,10005,10017,10032,10443,10618,10943,11001,11248,11348,11403,11410,11457,11504,11536,11716,11835,11943,11954,12128,12311,12856,13135,13140,13283,13404,13507,13682,13745,13793,13794,13826,13992,14136,14354,14400,14579,15095,15200,15215,15399,15628,15712,15999,16072,16129,16208,16263,16390,16441,16734,16743,16993,17250,17301,17752,17787,17915,17949,18032,18695,18712,18713,18731,18767,19255,19851,19936,20344,20689,20744,20827,21014,21126,21252,21478,21519,21970,21984,22200,22275,22425,22546,22694,22863,23387,23896,24152,24245,24689,24714,24846,25284,25650,25713,25960,26131,26666,26715,26925,27090,27544,28303,28367,28914,29330,29525,29596,29603,29789,29867,30136,30137,30468,30797,30814,31041,31042,31043,31044,31176,31454,31592,31736,32589,32681,32754,32800,32919,32920,32921,33060,33359,33424,33637,34104,34117,34407,34439,34588,35014,35367,35688,35730,35871,36200,36597,36644,36786,37720,38063,38346,38911,38985,39346,39668,40102,40508,40631,40639,40640,40705,41821,41945,42274,42366,42409,42556,42690,42699,42916,42955,43026,43142,43144,43339,43346,43395,43409,43507,43521,43580"
47,"122,359,385,394,409,4532,4550,4941,4971,5917,6234,6468,6625,6647,6716,6745,6776,7012,7112,7723,7752,7813,7901,7943,8537,8798,9195,9324,9424,9667,10380,10386,10752,11031,11144,11151,11444,11810,12183,12354,12355,12416,12522,12627,12629,12661,12792,12963,13278,13543,13944,14040,14053,14188,14658,14711,15509,15542,16418,16419,17125,17177,17537,17997,18577,19188,19260,19321,19373,19503,19695,20546,23713,24310,26136,27067,27397,27907,28437,29415,30016,30971,32205,32850,33406,33422,35028,35427,35618,35788,36276,38106,40236,40971,41297,43484"
48,"124,185,671,1931,2542,2689,3998,4538,4906,5145,5155,5188,5399,5537,5838,6460,6543,6688,6761,7015,7756,7924,8089,8396,8437,8885,8987,9554,9587,9623,9631,9642,9662,9666,9691,9705,9752,9945,9970,10000,10197,10208,10221,10240,10246,10450,10554,10590,10706,10852,11126,11333,11519,11541,11576,11662,11702,11919,12056,12149,12495,12569,12653,13155,13302,13365,13383,13400,13501,13659,13766,13779,13905,13942,13943,14443,14664,14893,15011,15470,15473,15640,15651,15668,16049,16151,16179,16196,16873,17375,17556,17671,17797,18657,18982,19516,19829,19914,19950,19964,21396,21480,21527,21908,22009,22413,22479,22523,22720,22807,23978,24061,24481,24992,25226,25792,26872,27010,27021,27140,27427,27850,27995,28246,29259,29276,29697,30174,31029,31223,31262,31425,31912,32159,32913,33653,33980,34410,36487,36559,36693,36987,37534,38190,38285,38296,38421,38630,39165,39494,40123,40694,40763,42088,42109,42142,42396,42484,42798,43034,43284,43425,43615"
49,"139,8016,11298,11531,11616,12061,12190,12236,15604,17033,18031,19302,20881,28623,32361,42624"
